stage,method,cv,n_subjects,fold,n_features,n_test_subjects,n_test_epochs,train_acc,test_acc,train_auc,test_auc
1,PSD sensorimotor,GroupKFold5,20,1,6,4,180,0.5625,0.5777777777777777,0.593869613532535,0.605877268798617
1,PSD sensorimotor,GroupKFold5,20,2,6,4,180,0.5791666666666667,0.5055555555555555,0.6163468142077767,0.557435770750988
1,PSD sensorimotor,GroupKFold5,20,3,6,4,180,0.5791666666666667,0.5722222222222222,0.607239050742813,0.5734567901234568
1,PSD sensorimotor,GroupKFold5,20,4,6,4,180,0.5555555555555556,0.5944444444444444,0.5689369091259888,0.6571604938271604
1,PSD sensorimotor,GroupKFold5,20,5,6,4,180,0.5777777777777777,0.5055555555555555,0.6188624210014584,0.498147233201581
1,PSD all channels,GroupKFold5,20,1,128,4,180,0.6958333333333333,0.5277777777777778,0.7620462402765773,0.5246326707000863
1,PSD all channels,GroupKFold5,20,2,128,4,180,0.6708333333333333,0.5444444444444444,0.739434065637274,0.5706521739130435
1,PSD all channels,GroupKFold5,20,3,128,4,180,0.6986111111111111,0.5111111111111111,0.7607486011962183,0.5302469135802469
1,PSD all channels,GroupKFold5,20,4,128,4,180,0.6708333333333333,0.5166666666666667,0.7249778120779471,0.5676543209876543
1,PSD all channels,GroupKFold5,20,5,128,4,180,0.7013888888888888,0.55,0.7638879243157317,0.5347084980237153
1,PSD sensorimotor,GroupKFold5,20,1,6,4,180,0.5625,0.5777777777777777,0.593869613532535,0.605877268798617
1,PSD sensorimotor,GroupKFold5,20,2,6,4,180,0.5791666666666667,0.5055555555555555,0.6163468142077767,0.557435770750988
1,PSD sensorimotor,GroupKFold5,20,3,6,4,180,0.5791666666666667,0.5722222222222222,0.607239050742813,0.5734567901234568
1,PSD sensorimotor,GroupKFold5,20,4,6,4,180,0.5555555555555556,0.5944444444444444,0.5689369091259888,0.6571604938271604
1,PSD sensorimotor,GroupKFold5,20,5,6,4,180,0.5777777777777777,0.5055555555555555,0.6188624210014584,0.498147233201581
1,PSD all channels,GroupKFold5,20,1,128,4,180,0.6958333333333333,0.5277777777777778,0.7620462402765773,0.5246326707000863
1,PSD all channels,GroupKFold5,20,2,128,4,180,0.6708333333333333,0.5444444444444444,0.739434065637274,0.5706521739130435
1,PSD all channels,GroupKFold5,20,3,128,4,180,0.6986111111111111,0.5111111111111111,0.7607486011962183,0.5302469135802469
1,PSD all channels,GroupKFold5,20,4,128,4,180,0.6708333333333333,0.5166666666666667,0.7249778120779471,0.5676543209876543
1,PSD all channels,GroupKFold5,20,5,128,4,180,0.7013888888888888,0.55,0.7638879243157317,0.5347084980237153
1,PSD sensorimotor,LOSO,106,1,6,1,45,0.560567556120288,0.4888888888888889,0.5776299453881318,0.5968379446640316
1,PSD sensorimotor,LOSO,106,2,6,1,45,0.5609911054637865,0.5111111111111111,0.5779928882573718,0.6284584980237153
1,PSD sensorimotor,LOSO,106,3,6,1,45,0.5620499788225328,0.4666666666666667,0.5792404931573697,0.4426877470355731
1,PSD sensorimotor,LOSO,106,4,6,1,45,0.560567556120288,0.5555555555555556,0.5775296561820491,0.6264822134387351
1,PSD sensorimotor,LOSO,106,5,6,1,45,0.5595086827615418,0.6444444444444445,0.5776180740149615,0.6488095238095238
1,PSD sensorimotor,LOSO,106,6,6,1,45,0.5609911054637865,0.5333333333333333,0.5796246484297141,0.3333333333333333
1,PSD sensorimotor,LOSO,106,7,6,1,45,0.5590851334180432,0.7777777777777778,0.5754370384723029,0.8616600790513834
1,PSD sensorimotor,LOSO,106,8,6,1,45,0.5607793307920372,0.5333333333333333,0.5781487689718949,0.5256916996047432
1,PSD sensorimotor,LOSO,106,9,6,1,45,0.5624735281660314,0.4222222222222222,0.5796632209175552,0.43253968253968256
