stage,method,cv,n_subjects,fold,n_features,n_test_subjects,n_test_epochs,train_acc,test_acc,train_auc,test_auc
2,FBCSP 4-40Hz (9 bands),GroupKFold5,20,1,12,4,180,0.6375,0.49444444444444446,0.7176271761945919,0.4752438572663292
2,FBCSP 4-40Hz (9 bands),GroupKFold5,20,2,12,4,180,0.6833333333333333,0.5388888888888889,0.760947905332932,0.5794219367588932
2,FBCSP 4-40Hz (9 bands),GroupKFold5,20,3,12,4,180,0.7111111111111111,0.5444444444444444,0.7837159945977232,0.5396296296296297
2,FBCSP 4-40Hz (9 bands),GroupKFold5,20,4,12,4,180,0.6958333333333333,0.5722222222222222,0.7815164962377003,0.5797530864197531
2,FBCSP 4-40Hz (9 bands),GroupKFold5,20,5,12,4,180,0.675,0.5166666666666667,0.7661411672106859,0.4904891304347826
2,"FBCSP 4-40Hz, 2 comp",GroupKFold5,20,1,12,4,180,0.6819444444444445,0.5,0.7665529695024078,0.5159896283491789
2,"FBCSP 4-40Hz, 2 comp",GroupKFold5,20,2,12,4,180,0.7069444444444445,0.5666666666666667,0.770724818853161,0.6119071146245059
2,"FBCSP 4-40Hz, 2 comp",GroupKFold5,20,3,12,4,180,0.7166666666666667,0.4222222222222222,0.7982944240787189,0.4616049382716049
2,"FBCSP 4-40Hz, 2 comp",GroupKFold5,20,4,12,4,180,0.6513888888888889,0.5166666666666667,0.7509087401119043,0.5891358024691359
2,"FBCSP 4-40Hz, 2 comp",GroupKFold5,20,5,12,4,180,0.6888888888888889,0.5611111111111111,0.7644898179657538,0.49864130434782616
2,"FBCSP 4-40Hz, 8 comp",GroupKFold5,20,1,12,4,180,0.6708333333333333,0.4722222222222222,0.7347434868502284,0.4864798123225089
2,"FBCSP 4-40Hz, 8 comp",GroupKFold5,20,2,12,4,180,0.6638888888888889,0.5333333333333333,0.7335848940127014,0.5421195652173914
2,"FBCSP 4-40Hz, 8 comp",GroupKFold5,20,3,12,4,180,0.7430555555555556,0.5055555555555555,0.8294424078718889,0.5419753086419753
2,"FBCSP 4-40Hz, 8 comp",GroupKFold5,20,4,12,4,180,0.7222222222222222,0.5166666666666667,0.7995678178661008,0.5497530864197531
2,"FBCSP 4-40Hz, 8 comp",GroupKFold5,20,5,12,4,180,0.7291666666666666,0.5333333333333333,0.814377541650269,0.5198863636363636
2,FBCSP 4-32Hz (7 bands),GroupKFold5,20,1,12,4,180,0.6944444444444444,0.49444444444444446,0.7576398320780344,0.4889492529941968
2,FBCSP 4-32Hz (7 bands),GroupKFold5,20,2,12,4,180,0.7027777777777777,0.5722222222222222,0.7861348396107755,0.6256175889328063
2,FBCSP 4-32Hz (7 bands),GroupKFold5,20,3,12,4,180,0.7222222222222222,0.4888888888888889,0.8109974918001158,0.5061728395061729
2,FBCSP 4-32Hz (7 bands),GroupKFold5,20,4,12,4,180,0.6958333333333333,0.5722222222222222,0.7815164962377003,0.5797530864197531
2,FBCSP 4-32Hz (7 bands),GroupKFold5,20,5,12,4,180,0.7097222222222223,0.48333333333333334,0.793843708282211,0.4756669960474308
2,FBCSP mu+beta (2 bands),GroupKFold5,20,1,8,4,180,0.6305555555555555,0.5666666666666667,0.7181133473268304,0.6030374120261761
2,FBCSP mu+beta (2 bands),GroupKFold5,20,2,8,4,180,0.6708333333333333,0.5722222222222222,0.7510320932780825,0.5921442687747036
2,FBCSP mu+beta (2 bands),GroupKFold5,20,3,8,4,180,0.7055555555555556,0.4888888888888889,0.7824811885008682,0.48703703703703705
2,FBCSP mu+beta (2 bands),GroupKFold5,20,4,8,4,180,0.6986111111111111,0.4722222222222222,0.7605865328960061,0.5050617283950617
2,FBCSP mu+beta (2 bands),GroupKFold5,20,5,8,4,180,0.6902777777777778,0.5,0.7684484262024369,0.48085474308300397
2,CSP covariance-domain,GroupKFold5,20,1,36,4,180,0.8444444444444444,0.5388888888888889,0.916448018273861,0.5734041239659217
2,CSP covariance-domain,GroupKFold5,20,2,36,4,180,0.7958333333333333,0.5722222222222222,0.8692347462400938,0.5902915019762845
2,CSP covariance-domain,GroupKFold5,20,3,36,4,180,0.8152777777777778,0.5166666666666667,0.8948871310052093,0.5117283950617284
2,CSP covariance-domain,GroupKFold5,20,4,36,4,180,0.8125,0.5611111111111111,0.8958132355778506,0.6030864197530864
2,CSP covariance-domain,GroupKFold5,20,5,36,4,180,0.8291666666666667,0.55,0.9153027602225463,0.5746047430830039
2,CSP mne ledoit-wolf,GroupKFold5,20,1,36,4,180,0.7694444444444445,0.5,0.8630154957402147,0.4909248055315471
2,CSP mne ledoit-wolf,GroupKFold5,20,2,36,4,180,0.775,0.55,0.865993780432283,0.5878211462450593
2,CSP mne ledoit-wolf,GroupKFold5,20,3,36,4,180,0.7833333333333333,0.5666666666666667,0.8739957553540422,0.6035802469135803
