subject,fbcsp_acc,psd_acc,riemannian_acc,riemannian_recentered_acc,riemannian_nested_acc,riemannian_nested_C
1,0.5555555555555556,0.4888888888888889,0.6,0.6888888888888889,0.7555555555555555,0.0001
2,0.8444444444444444,0.5111111111111111,0.7111111111111111,0.7777777777777778,0.8888888888888888,0.0003
3,0.4444444444444444,0.4666666666666667,0.4222222222222222,0.4444444444444444,0.4888888888888889,0.0001
4,0.6,0.5555555555555556,0.4888888888888889,0.6,0.7555555555555555,0.0003
5,0.4666666666666667,0.6444444444444445,0.5777777777777777,0.5555555555555556,0.5555555555555556,0.0003
6,0.4888888888888889,0.5333333333333333,0.4,0.5111111111111111,0.5111111111111111,0.0003
7,0.8222222222222222,0.7777777777777778,0.5555555555555556,0.8444444444444444,0.9555555555555556,0.0003
8,0.6222222222222222,0.5333333333333333,0.6,0.5555555555555556,0.6666666666666666,0.0003
9,0.5333333333333333,0.4222222222222222,0.4666666666666667,0.4444444444444444,0.5333333333333333,0.0003
10,0.5111111111111111,0.5777777777777777,0.6222222222222222,0.6,0.6222222222222222,0.0003
11,0.5333333333333333,0.5777777777777777,0.4888888888888889,0.5111111111111111,0.5555555555555556,0.0001
12,0.5111111111111111,0.6,0.4222222222222222,0.5555555555555556,0.6888888888888889,0.0001
13,0.5777777777777777,0.5777777777777777,0.7777777777777778,0.8,0.8222222222222222,0.0003
14,0.6666666666666666,0.4666666666666667,0.5111111111111111,0.5555555555555556,0.6,0.0003
15,0.5555555555555556,0.6444444444444445,0.6666666666666666,0.7333333333333333,0.8444444444444444,0.0001
16,0.6,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.6222222222222222,0.0001
17,0.6,0.5111111111111111,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.0001
18,0.4444444444444444,0.5777777777777777,0.4,0.5111111111111111,0.4888888888888889,0.0003
19,0.6444444444444445,0.5777777777777777,0.6,0.5777777777777777,0.7111111111111111,0.0003
20,0.6222222222222222,0.4888888888888889,0.6222222222222222,0.5555555555555556,0.4888888888888889,0.0003
21,0.5555555555555556,0.6444444444444445,0.4666666666666667,0.5333333333333333,0.5555555555555556,0.0001
22,0.6,0.6222222222222222,0.5777777777777777,0.6444444444444445,0.6666666666666666,0.0001
23,0.6888888888888889,0.4888888888888889,0.6,0.6888888888888889,0.7111111111111111,0.0001
24,0.5777777777777777,0.6,0.5111111111111111,0.5777777777777777,0.6888888888888889,0.0001
25,0.7111111111111111,0.5333333333333333,0.5333333333333333,0.5111111111111111,0.6444444444444445,0.0001
26,0.6888888888888889,0.5333333333333333,0.7333333333333333,0.7777777777777778,0.8666666666666667,0.0003
27,0.6,0.5111111111111111,0.4666666666666667,0.4444444444444444,0.4888888888888889,0.0003
28,0.4444444444444444,0.5333333333333333,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.0001
29,0.8222222222222222,0.8666666666666667,0.7777777777777778,0.8888888888888888,0.9777777777777776,0.0003
30,0.6222222222222222,0.5777777777777777,0.4666666666666667,0.6444444444444445,0.7777777777777778,0.0003
31,0.8222222222222222,0.7555555555555555,0.8888888888888888,0.8,0.9111111111111112,0.0003
32,0.7333333333333333,0.5777777777777777,0.5333333333333333,0.7777777777777778,0.8888888888888888,0.0003
33,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7111111111111111,0.8,0.0001
34,0.8222222222222222,0.7333333333333333,0.8,0.7777777777777778,0.9555555555555556,0.0003
35,0.6888888888888889,0.6,0.5111111111111111,0.6666666666666666,0.7555555555555555,0.0003
36,0.3111111111111111,0.4888888888888889,0.5333333333333333,0.5333333333333333,0.6222222222222222,0.0003
37,0.5111111111111111,0.4888888888888889,0.5111111111111111,0.6,0.6,0.0003
38,0.6222222222222222,0.5111111111111111,0.4444444444444444,0.5333333333333333,0.4444444444444444,0.0003
39,0.4444444444444444,0.4666666666666667,0.6444444444444445,0.6222222222222222,0.6,0.0003
40,0.5111111111111111,0.6222222222222222,0.4444444444444444,0.5777777777777777,0.4666666666666667,0.0003
41,0.6888888888888889,0.6,0.4888888888888889,0.5777777777777777,0.6666666666666666,0.0003
42,0.8666666666666667,0.7555555555555555,0.7333333333333333,0.8888888888888888,0.9111111111111112,0.0003
43,0.7555555555555555,0.6666666666666666,0.7333333333333333,0.7555555555555555,0.8444444444444444,0.0001
